Epoch,Training Loss,Test Loss,Test Pan Error Mean,Test Tilt Error Mean,Test Ground Distance Error Mean,Test Pan Error Stddev,Test Tilt Error Stddev,Test Ground Distance Error Stddev
1,0.3009503718806366,0.297690444049381,3.431819424053137,-2.321335340447321,-0.798863325626016,105.74277025690267,6.429132819043381,1.503011424792887
2,0.2919098104964295,0.2994377474699701,-3.7559638928449286,-3.8100778121450873,-0.986963499287093,103.66191315244944,6.755576649214435,1.3032115737115857
3,0.2878905766957942,0.2891321664764767,-0.6274096022534352,-1.7604056477697718,-0.6821047268897384,101.2246471443917,6.260202259961326,1.3749100634206797
4,0.2839763643989804,0.2876619512126559,0.6824270079229572,-2.545494908668302,-0.815781377227949,101.44472650262703,6.33521865435303,1.2180069789675256
5,0.2809250350066164,0.2864894338306926,-0.5323486373042999,0.5662284094236187,-0.8177671202545141,101.24207546381808,5.969496234454423,1.147369513661701
6,0.2783167117777683,0.2812918963886442,-1.505144607918402,-2.693702669033932,-0.6508693773098089,104.09513148176076,6.315083508565511,1.167880990036421
7,0.2752345678182054,0.2804519729245276,-10.245962377938458,-1.9444951864362163,-0.6295293913566852,101.38674374364476,6.258720811906211,1.1177525407948048
8,0.2730667756558969,0.275343547974314,3.299294317414739,-0.3320473211037146,-0.7161106234891815,102.91402670861802,5.953838202144687,1.018411748239506
9,0.2705032502063065,0.2755216239463715,-8.049633845291003,-2.6230229040909863,-0.5528226882532552,99.5748161331558,6.362816666327404,1.044425614900661
10,0.2689071808139608,0.2702391129874048,9.50929174438085,-2.0915736302078978,-0.4768425453252889,98.45787268079158,6.162937366140514,1.0313295948506238
11,0.267156165669017,0.2686753372351328,10.68104402840425,-1.8319688206286848,-0.3450568331343991,97.74254471943138,6.06437038242383,1.0462082757550386
12,0.2652710809692599,0.2690649667666072,-4.888030934637198,-3.334627191510957,-0.4576960199543305,98.26468900679454,6.433452591381544,0.9547800897764824
13,0.2639542355052304,0.2662436589598655,3.7923415953256527,-1.4436475557551995,-0.5884838733240381,96.32070646770302,5.953280244915717,0.8618797833879451
14,0.2626383009393132,0.2657451099228291,-2.711505281426658,-2.395233418792486,-0.4706907141953707,100.4444337819028,6.124915258397677,0.8775754353874929
15,0.2615847092603659,0.2647626094874881,1.5677975558291797,-3.320890929222711,-0.262306665414357,101.88232411074056,6.372380795279908,0.9340693979024212
16,0.2601400942362445,0.2629063289080347,-0.704824005317084,-2.973732706662771,-0.435534548719187,98.52710291662775,6.2054660100541215,0.8362118494040784
17,0.259149528593295,0.2621638370411737,-4.632539221310282,-2.727680671204989,-0.3183931906514608,99.901592105755,6.160567611600649,0.8562486375968446
18,0.2582547466743631,0.2622758856131917,3.226544009597244,-3.058797997623884,-0.1682032053512674,101.83506338090334,6.18181419708193,0.8911743994014121
19,0.2573862615913999,0.261819300729604,-5.243768870967812,-0.2432207240899269,-0.4127349236437508,95.64687930041214,5.614363957320242,0.7813138657805818
20,0.256514063110863,0.260682490609941,2.553167213038938,-3.752139019528152,-0.2193358940919777,100.01269421834763,6.389726621845986,0.8293551205122942
21,0.2554987887102722,0.2603530489972659,6.553662195584122,-2.3776531634801947,-0.2057967975836347,98.45121483652396,5.998844728349461,0.8185908546046475
22,0.2547512921249076,0.2589188239404133,-3.814822304673172,-2.091970533082211,-0.1687439414350925,100.54332779973691,5.975065304935741,0.8149099379089007
23,0.2540442302870073,0.2605901729492914,-8.615224685152132,-3.161208675922574,-0.1158973595781906,103.04634042375024,6.275167010228676,0.8186097486774924
